id;phone_number;email;full_name;invited_date;created_date;user_id
1;mobile Fish;Lavinia44@hotmail.com;Small;2019-10-26T19:23:13;2019-10-26T09:37:15;1
2;Metal deposit;Waino_Reichert21@gmail.com;Chips;2019-10-27T02:00:25;2019-10-26T15:35:21;1
3;Albania web-readiness;Judge.Moore@gmail.com;zero administration;2019-10-26T21:36:58;2019-10-27T00:49:20;1
4;bluetooth;Geovanni_Langworth46@gmail.com;HDD;2019-10-26T14:04:53;2019-10-27T02:18:58;1
5;Automotive;Virgil.MacGyver30@hotmail.com;Intelligent;2019-10-26T13:59:14;2019-10-27T00:37:27;1
6;Rubber Buckinghamshire Games;Giovanna66@hotmail.com;hardware Costa Rica Mayotte;2019-10-27T01:58:20;2019-10-27T05:39:26;2
7;connect Markets Chief;Mona8@yahoo.com;sky blue Tasty Plastic Pizza;2019-10-26T21:04:50;2019-10-26T12:28:24;1
8;generating compelling;Lennie14@gmail.com;back-end;2019-10-27T04:37:10;2019-10-27T06:02:00;2
9;index orange;Adriana70@gmail.com;application quantify Unbranded Plastic Tuna;2019-10-27T03:37:40;2019-10-26T08:27:00;2
10;Investment Account archive Fantastic Plastic Chicken;Mandy_Rempel@gmail.com;COM;2019-10-26T19:04:32;2019-10-26T21:13:07;1
